# Data2
# zs, mu, muerr
0.814977, 27.8506, 0.0802
0.817597, 27.9409, 0.0794
0.824385, 28.0066, 0.1018
0.825697, 27.9402, 0.0775
0.836528, 27.9788, 0.1045
0.843006, 28.1103, 0.0978
0.843691, 28.0586, 0.0640
0.873910, 28.1367, 0.1019
0.874051, 28.1353, 0.0862
0.878353, 28.2780, 0.0992
0.885081, 28.0625, 0.0652
0.892477, 28.1305, 0.0735
0.894565, 28.2052, 0.0581
0.899033, 28.2388, 0.0787
0.905797, 28.1601, 0.0848
0.905877, 28.2782, 0.0761
0.906200, 28.3327, 0.0647
0.916660, 28.1521, 0.0876
0.917878, 28.3319, 0.0615
0.923247, 28.4291, 0.0983
0.927645, 28.2553, 0.0900
0.940926, 28.3060, 0.0808
0.951694, 28.4650, 0.0957
0.955327, 28.4803, 0.0988
0.972593, 28.5480, 0.0847
0.978425, 28.5131, 0.0695
0.987750, 28.6576, 0.0779
0.995046, 28.5204, 0.0554
0.999961, 28.4723, 0.0823
